,seq,pr_station_id,bus_line_no,bus_line_no_seq,station_nm,station_id,mobile_no,이비노선ID,WGS84위도,WGS84경도,시군명
129,88122,233000004,1004,9,장외리.지긋말,233000746,37017.0,41037102.0,37.1684667,126.6785,화성시
139,88123,233000004,1004,10,장외리,233000745,37021.0,41037102.0,37.174183299999996,126.68083329999999,화성시
155,88124,233000004,1004,11,숲풀안앞,233001875,37784.0,41037102.0,37.1742,126.68565,화성시
163,88125,233000004,1004,12,광평삼거리,233000850,37563.0,41037102.0,37.17475,126.6889,화성시
181,88126,233000004,1004,13,느티나무앞,233001887,37928.0,41037102.0,37.1743,126.69135,화성시
197,88127,233000004,1004,14,광평주유소,233000851,37579.0,41037102.0,37.1728,126.6951,화성시
205,88128,233000004,1004,15,광평리,233001561,37032.0,41037102.0,37.1729833,126.69745,화성시
221,88129,233000004,1004,16,서신중학교후문,233003118,55514.0,41037102.0,37.1699,126.70175,화성시
237,88130,233000004,1004,17,매화리,233000852,37040.0,41037102.0,37.1686,126.70363329999999,화성시
253,88131,233000004,1004,18,서신터미널,233000853,37045.0,41037102.0,37.1694,126.70523329999999,화성시
260,88132,233000004,1004,19,상안리삼거리,233000344,37398.0,41037102.0,37.173983299999996,126.70668329999998,화성시
266,88133,233000004,1004,20,상안2리.SK주유소,233000744,37057.0,41037102.0,37.1790167,126.70803329999998,화성시
278,88134,233000004,1004,21,상안1.2리,233000743,37049.0,41037102.0,37.1828,126.70671670000002,화성시
288,88135,233000004,1004,22,상안1리,233000742,37059.0,41037102.0,37.1851,126.7098667,화성시
297,88136,233000004,1004,23,신흥사,233000741,37062.0,41037102.0,37.1898333,126.71363329999998,화성시
307,88137,233000004,1004,24,상안리.한국발효,233000879,36767.0,41037102.0,37.193000000000005,126.71673329999999,화성시
317,88138,233000004,1004,25,육일2리.코스코밸리,233000854,37068.0,41037102.0,37.1995,126.72285,화성시
331,88139,233000004,1004,26,육일리교차로,233001482,37557.0,41037102.0,37.2033333,126.7244,화성시
347,88140,233000004,1004,27,육일리마을회관,233002330,55172.0,41037102.0,37.2082167,126.72586670000001,화성시
365,88141,233000004,1004,28,육일리.육교동입구,233000269,37369.0,41037102.0,37.209733299999996,126.72823329999999,화성시
391,88142,233000004,1004,29,사강복지회관,233000855,37080.0,41037102.0,37.2127,126.73265,화성시
466,88143,233000004,1004,30,사강시장,233000268,37084.0,41037102.0,37.213016700000004,126.73663329999998,화성시
512,88144,233000004,1004,31,사강정형외과,233000267,37088.0,41037102.0,37.2133833,126.73898329999999,화성시
571,88145,233000004,1004,32,봉가1리,233000289,37094.0,41037102.0,37.212283299999996,126.74491670000002,화성시
608,88146,233000004,1004,33,돼지고개.삼존리물미,233000740,37098.0,41037102.0,37.2114,126.75376670000001,화성시
640,88147,233000004,1004,34,삼존리,233000739,37099.0,41037102.0,37.2111833,126.75905,화성시
654,88148,233000004,1004,35,슬항3리,233002153,55096.0,41037102.0,37.2093333,126.76288329999998,화성시
671,88149,233000004,1004,36,구리섬휴게소,233000738,37102.0,41037102.0,37.2084833,126.7647,화성시
695,88150,233000004,1004,37,외국인보호소,233000737,37103.0,41037102.0,37.2079667,126.76655,화성시
732,88151,233000004,1004,38,마도사거리,233000736,37106.0,41037102.0,37.2069,126.77425,화성시
758,88152,233000004,1004,39,재래시장.마도삼거리,233000735,37107.0,41037102.0,37.2063,126.78006670000002,화성시
780,88153,233000004,1004,40,두곡리,233000734,37110.0,41037102.0,37.2048,126.78416670000001,화성시
800,88154,233000004,1004,41,쌍송리입구.은장고개,233000733,37115.0,41037102.0,37.2022,126.7890667,화성시
808,88155,233000004,1004,42,남양육리.남양1동,233000732,36008.0,41037102.0,37.2039,126.80153329999999,화성시
832,88156,233000004,1004,43,우림아파트,233000731,36009.0,41037102.0,37.2054833,126.80585,화성시
871,88157,233000004,1004,44,경기남부수협.보건소,233002170,55115.0,41037102.0,37.2069167,126.81188329999999,화성시
908,88158,233000004,1004,45,남양성지,233000841,36015.0,41037102.0,37.20735,126.81498329999998,화성시
946,88159,233000004,1004,46,남양사거리,233000730,36019.0,41037102.0,37.209166700000004,126.81901670000002,화성시
979,88160,233000004,1004,47,남양읍행정복지센터,233000729,36025.0,41037102.0,37.2117667,126.82341670000001,화성시
1009,88161,233000004,1004,48,동수원남양병원,233000728,36029.0,41037102.0,37.2145333,126.82956670000002,화성시
1028,88162,233000004,1004,49,북양1통.봉림사,233000727,36035.0,41037102.0,37.2185833,126.83213329999998,화성시
1038,88163,233000004,1004,50,북양1통.염티고개,233000726,36043.0,41037102.0,37.2220833,126.83983329999998,화성시
1059,88164,233000004,1004,51,양노3리,233000725,37153.0,41037102.0,37.22685,126.85821670000001,화성시
1079,88165,233000004,1004,52,양노리,233002118,55087.0,41037102.0,37.2288333,126.85995,화성시
1104,88166,233000004,1004,53,백학IC(경유),277104308,,41037102.0,37.23150416,126.87947690000001,화성시
1112,88167,233000004,1004,54,화성비봉TG(경유),277104310,,41037102.0,37.23261469,126.90446329999999,화성시
1120,88168,233000004,1004,55,샘내IC(경유),277104314,,41037102.0,37.2433124,126.9365956,화성시
1128,88169,233000004,1004,56,천천리입구,233000712,37316.0,41037102.0,37.24365,126.94741670000002,화성시
1150,88170,233000004,1004,57,삼미.쌍용아파트,233000711,37324.0,41037102.0,37.2432,126.9533,화성시
1180,88192,233000004,1004,79,삼미.쌍용아파트,233000782,37325.0,41037102.0,37.2434333,126.95348329999999,화성시
1210,88193,233000004,1004,80,천천리입구,233000781,37321.0,41037102.0,37.24385,126.94825,화성시
1232,88194,233000004,1004,81,샘내IC(경유),277104315,,41037102.0,37.2433124,126.9365956,화성시
1240,88195,233000004,1004,82,화성비봉TG(경유),277104311,,41037102.0,37.23261469,126.90446329999999,화성시
1248,88196,233000004,1004,83,백학IC(경유),277104309,,41037102.0,37.23150416,126.87947690000001,화성시
1256,88197,233000004,1004,84,양노IC(경유),277104307,,41037102.0,37.23264201,126.8612324,화성시
1262,88198,233000004,1004,85,양노리,233000773,37154.0,41037102.0,37.2290833,126.85976670000001,화성시
1287,88199,233000004,1004,86,양노3리,233003082,55393.0,41037102.0,37.2267667,126.85771670000001,화성시
1307,88200,233000004,1004,87,북양1통.염티고개,233000772,36042.0,41037102.0,37.222133299999996,126.83903329999998,화성시
1328,88201,233000004,1004,88,북양1통,233000771,37776.0,41037102.0,37.21895,126.8318,화성시
1337,88202,233000004,1004,89,동수원남양병원,233000770,36030.0,41037102.0,37.2147333,126.82951670000001,화성시
1356,88203,233000004,1004,90,남양읍행정복지센터,233000769,36026.0,41037102.0,37.21195,126.82336670000001,화성시
1386,88204,233000004,1004,91,남양사거리,233000768,36021.0,41037102.0,37.2094333,126.8191,화성시
1419,88205,233000004,1004,92,남양성지,233000767,36014.0,41037102.0,37.2076167,126.81606670000001,화성시
1457,88206,233000004,1004,93,경기남부수협.보건소,233002171,55116.0,41037102.0,37.2070333,126.81185,화성시
1494,88207,233000004,1004,94,우림아파트,233000766,36010.0,41037102.0,37.20565,126.80613329999998,화성시
1533,88208,233000004,1004,95,남양육리.남양1동,233000765,36007.0,41037102.0,37.2039833,126.80096670000002,화성시
1557,88209,233000004,1004,96,은장고개,233001298,37114.0,41037102.0,37.2026667,126.78828329999999,화성시
1565,88210,233000004,1004,97,두곡리,233000764,37109.0,41037102.0,37.2055333,126.78316670000001,화성시
1585,88211,233000004,1004,98,재래시장.마도삼거리,233000763,37108.0,41037102.0,37.2063333,126.7808,화성시
1607,88212,233000004,1004,99,마도사거리,233000762,37105.0,41037102.0,37.20715,126.7746,화성시
1633,88213,233000004,1004,100,외국인보호소,233000761,37104.0,41037102.0,37.20805,126.76711670000002,화성시
1670,88214,233000004,1004,101,구리섬앞,233000857,37562.0,41037102.0,37.208716700000004,126.7646,화성시
1688,88215,233000004,1004,102,구리섬휴게소,233000760,37101.0,41037102.0,37.2094667,126.76305,화성시
1712,88216,233000004,1004,103,삼존리자동차성능시험장,233000759,37100.0,41037102.0,37.2108,126.76051670000001,화성시
1730,88217,233000004,1004,104,돼지고개.삼존리물미,233000877,37097.0,41037102.0,37.2116833,126.75538329999999,화성시
1762,88218,233000004,1004,105,봉가1리,233000878,37095.0,41037102.0,37.212283299999996,126.74531670000002,화성시
1799,88219,233000004,1004,106,송산농협.사강정형외과,233000858,37089.0,41037102.0,37.213466700000005,126.7389,화성시
1808,88220,233000004,1004,107,사강시장,233000859,37085.0,41037102.0,37.2131833,126.73691670000001,화성시
1854,88221,233000004,1004,108,사강복지회관,233000271,37081.0,41037102.0,37.2128667,126.73263329999999,화성시
1929,88222,233000004,1004,109,육일리.육교동입구,233000270,37370.0,41037102.0,37.209366700000004,126.72775,화성시
1955,88223,233000004,1004,110,육일리마을회관,233000136,36440.0,41037102.0,37.2072833,126.72498329999999,화성시
1973,88224,233000004,1004,111,육일리교차로,233001483,37556.0,41037102.0,37.2037,126.72428329999998,화성시
1989,88225,233000004,1004,112,육일2리.코스코밸리,233000860,37069.0,41037102.0,37.200166700000004,126.72288329999999,화성시
2003,88226,233000004,1004,113,상안리.한국발효,233000758,37471.0,41037102.0,37.19305,126.7166,화성시
2013,88227,233000004,1004,114,신흥사,233000861,37061.0,41037102.0,37.189916700000005,126.7135,화성시
2023,88228,233000004,1004,115,상안1.2리,233000756,37048.0,41037102.0,37.1825667,126.70646670000001,화성시
2033,88229,233000004,1004,116,상안2리.SK주유소,233000862,37054.0,41037102.0,37.1795833,126.70815,화성시
2045,88230,233000004,1004,117,서신,233000863,37043.0,41037102.0,37.1694333,126.70508329999998,화성시
2051,88231,233000004,1004,118,매화리,233000324,37041.0,41037102.0,37.1687,126.70363329999999,화성시
2067,88232,233000004,1004,119,서신중학교후문,233003119,55515.0,41037102.0,37.1699667,126.7018,화성시
2083,88233,233000004,1004,120,목성머리,233000755,37578.0,41037102.0,37.1731167,126.6972,화성시
2091,88234,233000004,1004,121,광평리,233000864,37031.0,41037102.0,37.1729833,126.69441670000002,화성시
2107,88235,233000004,1004,122,느티나무앞,233001888,37927.0,41037102.0,37.1743667,126.6914,화성시
2123,88236,233000004,1004,123,광평삼거리,233000754,37564.0,41037102.0,37.1748167,126.68891670000001,화성시
2141,88237,233000004,1004,124,숲풀안앞,233001876,37783.0,41037102.0,37.1742833,126.6856,화성시
2149,88238,233000004,1004,125,장외리,233000865,37020.0,41037102.0,37.17425,126.6807,화성시
2165,88239,233000004,1004,126,장외리.지긋말,233000866,37016.0,41037102.0,37.1684,126.67831670000001,화성시
2175,88240,233000004,1004,127,큰말입구,233000867,37015.0,41037102.0,37.1661167,126.67508329999998,화성시
2183,88241,233000004,1004,128,송교1리,233000868,37012.0,41037102.0,37.1636,126.6689,화성시
2191,88242,233000004,1004,129,살고지입구,233001299,36947.0,41037102.0,37.162916700000004,126.66651670000002,화성시
2200,88243,233000004,1004,130,개경촌,233000871,37007.0,41037102.0,37.1648,126.66433329999998,화성시
2208,88244,233000004,1004,131,제부해수탕,233000753,36763.0,41037102.0,37.1671833,126.65899999999999,화성시
2215,88245,233000004,1004,132,제부도입구,233000872,37001.0,41037102.0,37.172116700000004,126.65853329999999,화성시
2235,88246,233000004,1004,133,제부도입구,233001904,55349.0,41037102.0,37.17255,126.65921670000002,화성시
2255,88247,233000004,1004,134,돈말입구,233001930,55351.0,41037102.0,37.1748833,126.66385,화성시
2263,88248,233000004,1004,135,장외리.오리골,233001871,55348.0,41037102.0,37.177,126.66648329999998,화성시
2273,88249,233000005,330,1,장외리.오리골,233001903,37929.0,41037001.0,37.1769333,126.66631670000001,화성시
2283,88250,233000005,330,2,돈말입구,233001928,55350.0,41037001.0,37.1749833,126.66375,화성시
2291,88251,233000005,330,3,제부도입구,233001850,55347.0,41037001.0,37.1727833,126.65971670000002,화성시
2311,88252,233000005,330,4,제부도입구,233001293,37002.0,41037001.0,37.1722167,126.65838329999998,화성시
2331,88253,233000005,330,5,제부해수탕,233001872,37925.0,41037001.0,37.1669333,126.65923329999998,화성시
2338,88254,233000005,330,6,개경촌,233000749,37006.0,41037001.0,37.1647167,126.66428329999998,화성시
2346,88255,233000005,330,7,살고지입구,233001294,37008.0,41037001.0,37.1626,126.6671,화성시
2355,88256,233000005,330,8,송교1리,233000748,37013.0,41037001.0,37.1635,126.66891670000001,화성시
2363,88257,233000005,330,9,큰말입구,233000747,37014.0,41037001.0,37.1660667,126.67516670000002,화성시
2371,88258,233000005,330,10,장외리.지긋말,233000746,37017.0,41037001.0,37.1684667,126.6785,화성시
2381,88259,233000005,330,11,장외리,233001873,37930.0,41037001.0,37.170016700000005,126.67913329999999,화성시
2397,88260,233000005,330,12,장외리,233000745,37021.0,41037001.0,37.174183299999996,126.68083329999999,화성시
2413,88261,233000005,330,13,숲풀안앞,233001875,37784.0,41037001.0,37.1742,126.68565,화성시
2421,88262,233000005,330,14,광평삼거리,233000850,37563.0,41037001.0,37.17475,126.6889,화성시
2439,88263,233000005,330,15,느티나무앞,233001887,37928.0,41037001.0,37.1743,126.69135,화성시
2455,88264,233000005,330,16,광평주유소,233000851,37579.0,41037001.0,37.1728,126.6951,화성시
2463,88265,233000005,330,17,광평리,233001561,37032.0,41037001.0,37.1729833,126.69745,화성시
2479,88266,233000005,330,18,서신중학교후문,233003118,55514.0,41037001.0,37.1699,126.70175,화성시
2495,88267,233000005,330,19,매화리,233000852,37040.0,41037001.0,37.1686,126.70363329999999,화성시
2511,88268,233000005,330,20,서신터미널,233000853,37045.0,41037001.0,37.1694,126.70523329999999,화성시
2518,88269,233000005,330,21,상안리삼거리,233000344,37398.0,41037001.0,37.173983299999996,126.70668329999998,화성시
2524,88270,233000005,330,22,상안삼거리,233002315,55232.0,41037001.0,37.1769667,126.70668329999998,화성시
2533,88271,233000005,330,23,상안2리.SK주유소,233000744,37057.0,41037001.0,37.1790167,126.70803329999998,화성시
2545,88272,233000005,330,24,상안1.2리,233000743,37049.0,41037001.0,37.1828,126.70671670000002,화성시
2555,88273,233000005,330,25,상안1리,233000742,37059.0,41037001.0,37.1851,126.7098667,화성시
2564,88274,233000005,330,26,신흥사,233000741,37062.0,41037001.0,37.1898333,126.71363329999998,화성시
2574,88275,233000005,330,27,상안리.한국발효,233000879,36767.0,41037001.0,37.193000000000005,126.71673329999999,화성시
2584,88276,233000005,330,28,육일2리.코스코밸리,233000854,37068.0,41037001.0,37.1995,126.72285,화성시
2598,88277,233000005,330,29,육일리교차로,233001482,37557.0,41037001.0,37.2033333,126.7244,화성시
2614,88278,233000005,330,30,육일리마을회관,233002330,55172.0,41037001.0,37.2082167,126.72586670000001,화성시
2632,88279,233000005,330,31,육일리.육교동입구,233000269,37369.0,41037001.0,37.209733299999996,126.72823329999999,화성시
2658,88280,233000005,330,32,사강복지회관,233000855,37080.0,41037001.0,37.2127,126.73265,화성시
2733,88281,233000005,330,33,사강시장,233000268,37084.0,41037001.0,37.213016700000004,126.73663329999998,화성시
2779,88282,233000005,330,34,사강정형외과,233000267,37088.0,41037001.0,37.2133833,126.73898329999999,화성시
2838,88283,233000005,330,35,봉가1리,233000289,37094.0,41037001.0,37.212283299999996,126.74491670000002,화성시
2875,88284,233000005,330,36,돼지고개.삼존리물미,233000740,37098.0,41037001.0,37.2114,126.75376670000001,화성시
2907,88285,233000005,330,37,삼존리,233000739,37099.0,41037001.0,37.2111833,126.75905,화성시
2921,88286,233000005,330,38,슬항3리,233002153,55096.0,41037001.0,37.2093333,126.76288329999998,화성시
2938,88287,233000005,330,39,구리섬휴게소,233000738,37102.0,41037001.0,37.2084833,126.7647,화성시
2962,88288,233000005,330,40,외국인보호소,233000737,37103.0,41037001.0,37.2079667,126.76655,화성시
2999,88289,233000005,330,41,마도사거리,233000736,37106.0,41037001.0,37.2069,126.77425,화성시
3025,88290,233000005,330,42,재래시장.마도삼거리,233000735,37107.0,41037001.0,37.2063,126.78006670000002,화성시
3047,88291,233000005,330,43,두곡리,233000734,37110.0,41037001.0,37.2048,126.78416670000001,화성시
3067,88292,233000005,330,44,쌍송리입구.은장고개,233000733,37115.0,41037001.0,37.2022,126.7890667,화성시
3075,88293,233000005,330,45,남양육리.남양1동,233000732,36008.0,41037001.0,37.2039,126.80153329999999,화성시
3099,88294,233000005,330,46,우림아파트,233000731,36009.0,41037001.0,37.2054833,126.80585,화성시
3138,88295,233000005,330,47,경기남부수협.보건소,233002170,55115.0,41037001.0,37.2069167,126.81188329999999,화성시
3175,88296,233000005,330,48,남양성지,233000841,36015.0,41037001.0,37.20735,126.81498329999998,화성시
3213,88297,233000005,330,49,남양사거리,233000730,36019.0,41037001.0,37.209166700000004,126.81901670000002,화성시
3246,88298,233000005,330,50,남양읍행정복지센터,233000729,36025.0,41037001.0,37.2117667,126.82341670000001,화성시
3276,88299,233000005,330,51,남양도서관.동광뷰엘,233002704,55639.0,41037001.0,37.2090333,126.82645,화성시
3287,88300,233000005,330,52,남양동광뷰엘,233003108,55435.0,41037001.0,37.208516700000004,126.82996670000001,화성시
3297,88301,233000005,330,53,남양뉴타운4단지,233001975,36742.0,41037001.0,37.2101,126.83285,화성시
3306,88302,233000005,330,54,남양뉴타운입구,233000886,55677.0,41037001.0,37.21375701,126.83262659999998,화성시
3308,88303,233000005,330,55,유일병원,233001404,36719.0,41037001.0,37.21724864,126.8323305,화성시
3313,88304,233000005,330,56,북양1통.봉림사,233000727,36035.0,41037001.0,37.2185833,126.83213329999998,화성시
3323,88305,233000005,330,57,북양1통.염티고개,233000726,36043.0,41037001.0,37.2220833,126.83983329999998,화성시
3344,88306,233000005,330,58,양노3리,233000725,37153.0,41037001.0,37.22685,126.85821670000001,화성시
3364,88307,233000005,330,59,양노리,233002118,55087.0,41037001.0,37.2288333,126.85995,화성시
3389,88308,233000005,330,60,삼화리,233000724,37162.0,41037001.0,37.2362,126.8637,화성시
3400,88309,233000005,330,61,천산아파트,233000723,37169.0,41037001.0,37.2364667,126.86598329999998,화성시
3423,88310,233000005,330,62,비봉초등학교후문,233000722,37171.0,41037001.0,37.2362167,126.86823329999999,화성시
3434,88311,233000005,330,63,비봉중고등학교,233000721,37186.0,41037001.0,37.2368667,126.8739,화성시
3458,88312,233000005,330,64,연화가든앞,233002039,55017.0,41037001.0,37.24355,126.8751,화성시
3463,88313,233000005,330,65,구포리,233000538,37176.0,41037001.0,37.2500333,126.87235,화성시
3470,88314,233000005,330,66,야목리,233000537,37193.0,41037001.0,37.2649167,126.87756670000002,화성시
3477,88315,233000005,330,67,매송휴먼시아후문,233002354,55236.0,41037001.0,37.267733299999996,126.88086670000001,화성시
3482,88316,233000005,330,68,송라리,233000536,37215.0,41037001.0,37.2749,126.8868,화성시
3489,88317,233000005,330,69,원리,233000535,37211.0,41037001.0,37.2775667,126.88511670000001,화성시
3496,88369,233000005,330,121,원리,233000534,37210.0,41037001.0,37.27765,126.88495,화성시
3503,88370,233000005,330,122,송라1리,233000533,37214.0,41037001.0,37.275433299999996,126.88645,화성시
3508,88371,233000005,330,123,야목리,233000532,37194.0,41037001.0,37.26615,126.87825,화성시
3515,88372,233000005,330,124,구포리,233000873,37175.0,41037001.0,37.25005,126.87225,화성시
3522,88373,233000005,330,125,왕재골입구,233002040,55008.0,41037001.0,37.2435167,126.87498329999998,화성시
3527,88374,233000005,330,126,비봉중고등학교,233000778,37183.0,41037001.0,37.2367167,126.87321670000001,화성시
3551,88375,233000005,330,127,비봉초등학교후문.삼화3리,233000777,37170.0,41037001.0,37.2363167,126.86815,화성시
3563,88376,233000005,330,128,천산아파트,233000776,37168.0,41037001.0,37.23655,126.86598329999998,화성시
3586,88377,233000005,330,129,삼화리.천산아파트,233000774,37161.0,41037001.0,37.2360833,126.86291670000001,화성시
3597,88378,233000005,330,130,양노리,233000773,37154.0,41037001.0,37.2290833,126.85976670000001,화성시
3622,88379,233000005,330,131,양노3리,233003082,55393.0,41037001.0,37.2267667,126.85771670000001,화성시
3642,88380,233000005,330,132,북양1통.염티고개,233000772,36042.0,41037001.0,37.222133299999996,126.83903329999998,화성시
3663,88381,233000005,330,133,북양1통,233000771,37776.0,41037001.0,37.21895,126.8318,화성시
3672,88382,233000005,330,134,남양뉴타운입구,233000966,55678.0,41037001.0,37.21375701,126.83262659999998,화성시
3674,88383,233000005,330,135,남양뉴타운4단지,233003107,55434.0,41037001.0,37.2102833,126.83261670000002,화성시
3683,88384,233000005,330,136,남양동광뷰엘,233003109,55436.0,41037001.0,37.208716700000004,126.83005,화성시
3693,88385,233000005,330,137,남양도서관.동광뷰엘,233002705,55640.0,41037001.0,37.2091,126.82666670000002,화성시
3704,88386,233000005,330,138,남양읍행정복지센터,233000769,36026.0,41037001.0,37.21195,126.82336670000001,화성시
3734,88387,233000005,330,139,남양사거리,233000768,36021.0,41037001.0,37.2094333,126.8191,화성시
3767,88388,233000005,330,140,남양성지,233000767,36014.0,41037001.0,37.2076167,126.81606670000001,화성시
3805,88389,233000005,330,141,경기남부수협.보건소,233002171,55116.0,41037001.0,37.2070333,126.81185,화성시
3842,88390,233000005,330,142,우림아파트,233000766,36010.0,41037001.0,37.20565,126.80613329999998,화성시
3881,88391,233000005,330,143,남양육리.남양1동,233000765,36007.0,41037001.0,37.2039833,126.80096670000002,화성시
3905,88392,233000005,330,144,은장고개,233001298,37114.0,41037001.0,37.2026667,126.78828329999999,화성시
3913,88393,233000005,330,145,두곡리,233000764,37109.0,41037001.0,37.2055333,126.78316670000001,화성시
3933,88394,233000005,330,146,재래시장.마도삼거리,233000763,37108.0,41037001.0,37.2063333,126.7808,화성시
3955,88395,233000005,330,147,마도사거리,233000762,37105.0,41037001.0,37.20715,126.7746,화성시
3981,88396,233000005,330,148,외국인보호소,233000761,37104.0,41037001.0,37.20805,126.76711670000002,화성시
4018,88397,233000005,330,149,구리섬앞,233000857,37562.0,41037001.0,37.208716700000004,126.7646,화성시
4036,88398,233000005,330,150,구리섬휴게소,233000760,37101.0,41037001.0,37.2094667,126.76305,화성시
4060,88399,233000005,330,151,삼존리자동차성능시험장,233000759,37100.0,41037001.0,37.2108,126.76051670000001,화성시
4078,88400,233000005,330,152,돼지고개.삼존리물미,233000877,37097.0,41037001.0,37.2116833,126.75538329999999,화성시
4110,88401,233000005,330,153,봉가1리,233000878,37095.0,41037001.0,37.212283299999996,126.74531670000002,화성시
4147,88402,233000005,330,154,송산농협.사강정형외과,233000858,37089.0,41037001.0,37.213466700000005,126.7389,화성시
4156,88403,233000005,330,155,사강시장,233000859,37085.0,41037001.0,37.2131833,126.73691670000001,화성시
4202,88404,233000005,330,156,사강복지회관,233000271,37081.0,41037001.0,37.2128667,126.73263329999999,화성시
4277,88405,233000005,330,157,육일리.육교동입구,233000270,37370.0,41037001.0,37.209366700000004,126.72775,화성시
4303,88406,233000005,330,158,육일리마을회관,233000136,36440.0,41037001.0,37.2072833,126.72498329999999,화성시
4321,88407,233000005,330,159,육일리교차로,233001483,37556.0,41037001.0,37.2037,126.72428329999998,화성시
4337,88408,233000005,330,160,육일2리.코스코밸리,233000860,37069.0,41037001.0,37.200166700000004,126.72288329999999,화성시
4351,88409,233000005,330,161,상안리.한국발효,233000758,37471.0,41037001.0,37.19305,126.7166,화성시
4361,88410,233000005,330,162,신흥사,233000861,37061.0,41037001.0,37.189916700000005,126.7135,화성시
4371,88411,233000005,330,163,상안1리,233000757,37058.0,41037001.0,37.18515,126.70971670000002,화성시
4380,88412,233000005,330,164,상안1.2리,233000756,37048.0,41037001.0,37.1825667,126.70646670000001,화성시
4390,88413,233000005,330,165,상안2리.SK주유소,233000862,37054.0,41037001.0,37.1795833,126.70815,화성시
4402,88414,233000005,330,166,상안삼거리,233002316,55225.0,41037001.0,37.17495,126.70611670000001,화성시
4411,88415,233000005,330,167,서신,233000863,37043.0,41037001.0,37.1694333,126.70508329999998,화성시
4417,88416,233000005,330,168,매화리,233000324,37041.0,41037001.0,37.1687,126.70363329999999,화성시
4433,88417,233000005,330,169,서신중학교후문,233003119,55515.0,41037001.0,37.1699667,126.7018,화성시
4449,88418,233000005,330,170,목성머리,233000755,37578.0,41037001.0,37.1731167,126.6972,화성시
4457,88419,233000005,330,171,광평리,233000864,37031.0,41037001.0,37.1729833,126.69441670000002,화성시
4473,88420,233000005,330,172,느티나무앞,233001888,37927.0,41037001.0,37.1743667,126.6914,화성시
4489,88421,233000005,330,173,광평삼거리,233000754,37564.0,41037001.0,37.1748167,126.68891670000001,화성시
4507,88422,233000005,330,174,숲풀안앞,233001876,37783.0,41037001.0,37.1742833,126.6856,화성시
4515,88423,233000005,330,175,장외리,233000865,37020.0,41037001.0,37.17425,126.6807,화성시
4531,88424,233000005,330,176,장외리,233001874,37926.0,41037001.0,37.170016700000005,126.67903329999999,화성시
4547,88425,233000005,330,177,장외리.지긋말,233000866,37016.0,41037001.0,37.1684,126.67831670000001,화성시
4557,88426,233000005,330,178,큰말입구,233000867,37015.0,41037001.0,37.1661167,126.67508329999998,화성시
4565,88427,233000005,330,179,송교1리,233000868,37012.0,41037001.0,37.1636,126.6689,화성시
4573,88428,233000005,330,180,살고지입구,233001299,36947.0,41037001.0,37.162916700000004,126.66651670000002,화성시
4582,88429,233000005,330,181,개경촌,233000871,37007.0,41037001.0,37.1648,126.66433329999998,화성시
4590,88430,233000005,330,182,제부해수탕,233000753,36763.0,41037001.0,37.1671833,126.65899999999999,화성시
4597,88431,233000005,330,183,제부도입구,233000872,37001.0,41037001.0,37.172116700000004,126.65853329999999,화성시
4617,88432,233000005,330,184,제부도입구,233001904,55349.0,41037001.0,37.17255,126.65921670000002,화성시
4637,88433,233000005,330,185,돈말입구,233001930,55351.0,41037001.0,37.1748833,126.66385,화성시
