,seq,pr_station_id,bus_line_no,bus_line_no_seq,station_nm,station_id,mobile_no,표준정류장ID,시군명
7729,164883,241319018,공영3(금당2리),27,사강정형외과,233000267,37088.0,233000267,화성시
7730,164886,241319019,공영4(삼존2.3리),2,사강정형외과,233000267,37088.0,233000267,화성시
7731,164921,241319020,공영4(도말.고포),26,사강정형외과,233000267,37088.0,233000267,화성시
7732,164954,241319021,공영4(마산.고포),32,사강정형외과,233000267,37088.0,233000267,화성시
7733,164985,241319022,공영4(형도.고포),30,사강정형외과,233000267,37088.0,233000267,화성시
7734,165014,241319023,공영4(솔미.구렛),28,사강정형외과,233000267,37088.0,233000267,화성시
7735,165044,241319024,20-2(용포화석지),29,사강정형외과,233000267,37088.0,233000267,화성시
7736,165074,241319025,20-2(천등.고정),29,사강정형외과,233000267,37088.0,233000267,화성시
7737,165107,241319026,20-2(용포고정천),32,사강정형외과,233000267,37088.0,233000267,화성시
7738,165136,241319027,20-2(용포.고정),28,사강정형외과,233000267,37088.0,233000267,화성시
7739,165166,241319028,20-2(천등화석지),29,사강정형외과,233000267,37088.0,233000267,화성시
7740,165180,241319029,20-1(백곡리),13,사강정형외과,233000267,37088.0,233000267,화성시
7741,165183,241319030,20-1(홍법리),2,사강정형외과,233000267,37088.0,233000267,화성시
7742,165250,241319031,20-1(독지리),22,사강정형외과,233000267,37088.0,233000267,화성시
7743,165293,241319032,20-3(왕모대시청),42,사강정형외과,233000267,37088.0,233000267,화성시
7744,165398,241319033,20-3(당성왕모대),57,사강정형외과,233000267,37088.0,233000267,화성시
7745,165404,241319034,20-3(쌍쏭.대광A),5,사강정형외과,233000267,37088.0,233000267,화성시
7746,165506,241319036,공영3(솔미.구렛),28,사강정형외과,233000267,37088.0,233000267,화성시
7747,165530,241319037,공영3(지화2리),23,사강정형외과,233000267,37088.0,233000267,화성시
7748,165557,241319039,공영4(돌내.형도),26,사강정형외과,233000267,37088.0,233000267,화성시
7749,165580,241319041,공영4(돌내독지1),22,사강정형외과,233000267,37088.0,233000267,화성시
7750,165604,241319042,공영4(돌내독지2),23,사강정형외과,233000267,37088.0,233000267,화성시
7751,165607,241319043,20-4A,2,사강정형외과,233000267,37088.0,233000267,화성시
7752,165659,241319044,20-4B,2,사강정형외과,233000267,37088.0,233000267,화성시
7753,167756,241335001,50-2,47,사강정형외과,233000267,37088.0,233000267,화성시
7754,188435,241483002,5-2,11,사강정형외과,233000267,37088.0,233000267,화성시
7755,188671,241483008,50-7,28,사강정형외과,233000267,37088.0,233000267,화성시
7760,164631,241319009,공영2(삼존대광A),3,봉가1리,233000289,37094.0,233000289,화성시
7761,164679,241319010,공영2(송정대광A),3,봉가1리,233000289,37094.0,233000289,화성시
7762,164797,241319015,공영3(청원.삼존),3,봉가1리,233000289,37094.0,233000289,화성시
7763,164829,241319016,공영3(삼존.청원),3,봉가1리,233000289,37094.0,233000289,화성시
7764,164887,241319019,공영4(삼존2.3리),3,봉가1리,233000289,37094.0,233000289,화성시
7765,165184,241319030,20-1(홍법리),3,봉가1리,233000289,37094.0,233000289,화성시
7766,165294,241319032,20-3(왕모대시청),43,봉가1리,233000289,37094.0,233000289,화성시
7767,165405,241319034,20-3(쌍쏭.대광A),6,봉가1리,233000289,37094.0,233000289,화성시
7768,165608,241319043,20-4A,3,봉가1리,233000289,37094.0,233000289,화성시
7769,165660,241319044,20-4B,3,봉가1리,233000289,37094.0,233000289,화성시
7770,188436,241483002,5-2,12,봉가1리,233000289,37094.0,233000289,화성시
7771,188672,241483008,50-7,29,봉가1리,233000289,37094.0,233000289,화성시
7776,164680,241319010,공영2(송정대광A),4,돼지고개.삼존리물미,233000740,37098.0,233000740,화성시
7777,164798,241319015,공영3(청원.삼존),4,돼지고개.삼존리물미,233000740,37098.0,233000740,화성시
7778,165185,241319030,20-1(홍법리),4,돼지고개.삼존리물미,233000740,37098.0,233000740,화성시
7779,165295,241319032,20-3(왕모대시청),44,돼지고개.삼존리물미,233000740,37098.0,233000740,화성시
7780,165406,241319034,20-3(쌍쏭.대광A),7,돼지고개.삼존리물미,233000740,37098.0,233000740,화성시
7781,165609,241319043,20-4A,4,돼지고개.삼존리물미,233000740,37098.0,233000740,화성시
7782,165661,241319044,20-4B,4,돼지고개.삼존리물미,233000740,37098.0,233000740,화성시
7783,188437,241483002,5-2,13,돼지고개.삼존리물미,233000740,37098.0,233000740,화성시
7784,188673,241483008,50-7,30,돼지고개.삼존리물미,233000740,37098.0,233000740,화성시
7789,164681,241319010,공영2(송정대광A),5,삼존리,233000739,37099.0,233000739,화성시
7790,164799,241319015,공영3(청원.삼존),5,삼존리,233000739,37099.0,233000739,화성시
7791,165186,241319030,20-1(홍법리),5,삼존리,233000739,37099.0,233000739,화성시
7792,165296,241319032,20-3(왕모대시청),45,삼존리,233000739,37099.0,233000739,화성시
7793,165407,241319034,20-3(쌍쏭.대광A),8,삼존리,233000739,37099.0,233000739,화성시
7794,165610,241319043,20-4A,5,삼존리,233000739,37099.0,233000739,화성시
7795,188438,241483002,5-2,14,삼존리,233000739,37099.0,233000739,화성시
7796,188674,241483008,50-7,31,삼존리,233000739,37099.0,233000739,화성시
7801,164635,241319009,공영2(삼존대광A),7,슬항3리,233002153,55096.0,233002153,화성시
7802,164682,241319010,공영2(송정대광A),6,슬항3리,233002153,55096.0,233002153,화성시
7803,164800,241319015,공영3(청원.삼존),6,슬항3리,233002153,55096.0,233002153,화성시
7804,164833,241319016,공영3(삼존.청원),7,슬항3리,233002153,55096.0,233002153,화성시
7805,165187,241319030,20-1(홍법리),6,슬항3리,233002153,55096.0,233002153,화성시
7806,165297,241319032,20-3(왕모대시청),46,슬항3리,233002153,55096.0,233002153,화성시
7807,165408,241319034,20-3(쌍쏭.대광A),9,슬항3리,233002153,55096.0,233002153,화성시
7808,165611,241319043,20-4A,6,슬항3리,233002153,55096.0,233002153,화성시
7809,165665,241319044,20-4B,8,슬항3리,233002153,55096.0,233002153,화성시
7810,188439,241483002,5-2,15,슬항3리,233002153,55096.0,233002153,화성시
7811,188675,241483008,50-7,32,슬항3리,233002153,55096.0,233002153,화성시
7821,164636,241319009,공영2(삼존대광A),8,외국인보호소,233000737,37103.0,233000737,화성시
7822,164683,241319010,공영2(송정대광A),7,외국인보호소,233000737,37103.0,233000737,화성시
7823,164801,241319015,공영3(청원.삼존),7,외국인보호소,233000737,37103.0,233000737,화성시
7824,164834,241319016,공영3(삼존.청원),8,외국인보호소,233000737,37103.0,233000737,화성시
7825,165188,241319030,20-1(홍법리),7,외국인보호소,233000737,37103.0,233000737,화성시
7826,165298,241319032,20-3(왕모대시청),47,외국인보호소,233000737,37103.0,233000737,화성시
7827,165409,241319034,20-3(쌍쏭.대광A),10,외국인보호소,233000737,37103.0,233000737,화성시
7828,165612,241319043,20-4A,7,외국인보호소,233000737,37103.0,233000737,화성시
7829,165666,241319044,20-4B,9,외국인보호소,233000737,37103.0,233000737,화성시
7830,188440,241483002,5-2,16,외국인보호소,233000737,37103.0,233000737,화성시
7831,188676,241483008,50-7,33,외국인보호소,233000737,37103.0,233000737,화성시
7837,164637,241319009,공영2(삼존대광A),9,마도사거리,233000736,37106.0,233000736,화성시
7838,164684,241319010,공영2(송정대광A),8,마도사거리,233000736,37106.0,233000736,화성시
7839,165299,241319032,20-3(왕모대시청),48,마도사거리,233000736,37106.0,233000736,화성시
7840,165410,241319034,20-3(쌍쏭.대광A),11,마도사거리,233000736,37106.0,233000736,화성시
7841,188441,241483002,5-2,17,마도사거리,233000736,37106.0,233000736,화성시
7842,188677,241483008,50-7,34,마도사거리,233000736,37106.0,233000736,화성시
7848,165300,241319032,20-3(왕모대시청),49,재래시장.마도삼거리,233000735,37107.0,233000735,화성시
7849,165411,241319034,20-3(쌍쏭.대광A),12,재래시장.마도삼거리,233000735,37107.0,233000735,화성시
7850,188442,241483002,5-2,18,재래시장.마도삼거리,233000735,37107.0,233000735,화성시
7851,188678,241483008,50-7,35,재래시장.마도삼거리,233000735,37107.0,233000735,화성시
7856,165301,241319032,20-3(왕모대시청),50,두곡리,233000734,37110.0,233000734,화성시
7857,165412,241319034,20-3(쌍쏭.대광A),13,두곡리,233000734,37110.0,233000734,화성시
7858,188443,241483002,5-2,19,두곡리,233000734,37110.0,233000734,화성시
7859,188679,241483008,50-7,36,두곡리,233000734,37110.0,233000734,화성시
7864,188444,241483002,5-2,20,쌍송리입구.은장고개,233000733,37115.0,233000733,화성시
7865,188680,241483008,50-7,37,쌍송리입구.은장고개,233000733,37115.0,233000733,화성시
7870,165309,241319032,20-3(왕모대시청),58,남양육리.남양1동,233000732,36008.0,233000732,화성시
7871,165420,241319034,20-3(쌍쏭.대광A),21,남양육리.남양1동,233000732,36008.0,233000732,화성시
7872,165627,241319043,20-4A,22,남양육리.남양1동,233000732,36008.0,233000732,화성시
7873,165681,241319044,20-4B,24,남양육리.남양1동,233000732,36008.0,233000732,화성시
7874,188445,241483002,5-2,21,남양육리.남양1동,233000732,36008.0,233000732,화성시
7875,188681,241483008,50-7,38,남양육리.남양1동,233000732,36008.0,233000732,화성시
7881,164645,241319009,공영2(삼존대광A),17,우림아파트,233000731,36009.0,233000731,화성시
7882,164692,241319010,공영2(송정대광A),16,우림아파트,233000731,36009.0,233000731,화성시
7883,165310,241319032,20-3(왕모대시청),59,우림아파트,233000731,36009.0,233000731,화성시
7884,165421,241319034,20-3(쌍쏭.대광A),22,우림아파트,233000731,36009.0,233000731,화성시
7885,165628,241319043,20-4A,23,우림아파트,233000731,36009.0,233000731,화성시
7886,165682,241319044,20-4B,25,우림아파트,233000731,36009.0,233000731,화성시
7887,167893,241335026,50-2(금강),15,우림아파트,233000731,36009.0,233000731,화성시
7888,188446,241483002,5-2,22,우림아파트,233000731,36009.0,233000731,화성시
7889,188625,241483007,50-6(대광1차),3,우림아파트,233000731,36009.0,233000731,화성시
7890,188682,241483008,50-7,39,우림아파트,233000731,36009.0,233000731,화성시
7891,188873,241483016,50-6(대광2차),3,우림아파트,233000731,36009.0,233000731,화성시
7896,164646,241319009,공영2(삼존대광A),18,경기남부수협.보건소,233002170,55115.0,233002170,화성시
7897,164693,241319010,공영2(송정대광A),17,경기남부수협.보건소,233002170,55115.0,233002170,화성시
7898,165311,241319032,20-3(왕모대시청),60,경기남부수협.보건소,233002170,55115.0,233002170,화성시
7899,165422,241319034,20-3(쌍쏭.대광A),23,경기남부수협.보건소,233002170,55115.0,233002170,화성시
7900,165629,241319043,20-4A,24,경기남부수협.보건소,233002170,55115.0,233002170,화성시
7901,165683,241319044,20-4B,26,경기남부수협.보건소,233002170,55115.0,233002170,화성시
7902,167894,241335026,50-2(금강),16,경기남부수협.보건소,233002170,55115.0,233002170,화성시
7903,188447,241483002,5-2,23,경기남부수협.보건소,233002170,55115.0,233002170,화성시
7904,188626,241483007,50-6(대광1차),4,경기남부수협.보건소,233002170,55115.0,233002170,화성시
7905,188683,241483008,50-7,40,경기남부수협.보건소,233002170,55115.0,233002170,화성시
7906,188874,241483016,50-6(대광2차),4,경기남부수협.보건소,233002170,55115.0,233002170,화성시
7912,165630,241319043,20-4A,25,남양성지,233000841,36015.0,233000841,화성시
7913,165684,241319044,20-4B,27,남양성지,233000841,36015.0,233000841,화성시
7914,167710,241335001,50-2,1,남양성지,233000841,36015.0,233000841,화성시
7915,167795,241335001,50-2,86,남양성지,233000841,36015.0,233000841,화성시
7916,167828,241335002,50-5,33,남양성지,233000841,36015.0,233000841,화성시
7917,167895,241335026,50-2(금강),17,남양성지,233000841,36015.0,233000841,화성시
7918,188448,241483002,5-2,24,남양성지,233000841,36015.0,233000841,화성시
7919,188627,241483007,50-6(대광1차),5,남양성지,233000841,36015.0,233000841,화성시
7920,188684,241483008,50-7,41,남양성지,233000841,36015.0,233000841,화성시
7921,188717,241483009,50-8(신외),25,남양성지,233000841,36015.0,233000841,화성시
7922,188875,241483016,50-6(대광2차),5,남양성지,233000841,36015.0,233000841,화성시
7928,92026,233000134,1001,88,남양사거리,233000730,36019.0,233000730,화성시
7930,153751,241205012,50,7,남양사거리,233000730,36019.0,233000730,화성시
7931,167903,241335026,50-2(금강),25,남양사거리,233000730,36019.0,233000730,화성시
7932,188572,241483004,50-1,70,남양사거리,233000730,36019.0,233000730,화성시
7933,188602,241483005,50-3(안석),30,남양사거리,233000730,36019.0,233000730,화성시
7934,188612,241483006,50-4,10,남양사거리,233000730,36019.0,233000730,화성시
7935,188685,241483008,50-7,42,남양사거리,233000730,36019.0,233000730,화성시
7936,188739,241483010,50-4(대광1차),22,남양사거리,233000730,36019.0,233000730,화성시
7937,188870,241483014,50-3(살곶),32,남양사거리,233000730,36019.0,233000730,화성시
7938,188894,241483017,50-8(송산),7,남양사거리,233000730,36019.0,233000730,화성시
7939,190124,241485040,13-2,33,남양사거리,233000730,36019.0,233000730,화성시
7945,92027,233000134,1001,89,남양읍행정복지센터,233000729,36025.0,233000729,화성시
7946,153752,241205012,50,8,남양읍행정복지센터,233000729,36025.0,233000729,화성시
7947,167904,241335026,50-2(금강),26,남양읍행정복지센터,233000729,36025.0,233000729,화성시
7948,188613,241483006,50-4,11,남양읍행정복지센터,233000729,36025.0,233000729,화성시
7949,188686,241483008,50-7,43,남양읍행정복지센터,233000729,36025.0,233000729,화성시
7950,188740,241483010,50-4(대광1차),23,남양읍행정복지센터,233000729,36025.0,233000729,화성시
7951,188895,241483017,50-8(송산),8,남양읍행정복지센터,233000729,36025.0,233000729,화성시
7952,190125,241485040,13-2,34,남양읍행정복지센터,233000729,36025.0,233000729,화성시
7957,92028,233000134,1001,90,동수원남양병원,233000728,36029.0,233000728,화성시
7958,153753,241205012,50,9,동수원남양병원,233000728,36029.0,233000728,화성시
7959,188896,241483017,50-8(송산),9,동수원남양병원,233000728,36029.0,233000728,화성시
7965,92029,233000134,1001,91,북양1통.봉림사,233000727,36035.0,233000727,화성시
7966,188898,241483017,50-8(송산),11,북양1통.봉림사,233000727,36035.0,233000727,화성시
7973,92030,233000134,1001,92,북양1통.염티고개,233000726,36043.0,233000726,화성시
7981,92031,233000134,1001,93,양노3리,233000725,37153.0,233000725,화성시
7989,92032,233000134,1001,94,양노리,233002118,55087.0,233002118,화성시
8223,92007,233000134,1001,69,양노리,233000773,37154.0,233000773,화성시
8231,92008,233000134,1001,70,양노3리,233003082,55393.0,233003082,화성시
8240,92009,233000134,1001,71,북양1통.염티고개,233000772,36042.0,233000772,화성시
8247,92010,233000134,1001,72,북양1통,233000771,37776.0,233000771,화성시
8248,188917,241483017,50-8(송산),30,북양1통,233000771,37776.0,233000771,화성시
8255,92011,233000134,1001,73,동수원남양병원,233000770,36030.0,233000770,화성시
8256,153868,241205012,50,124,동수원남양병원,233000770,36030.0,233000770,화성시
8257,188918,241483017,50-8(송산),31,동수원남양병원,233000770,36030.0,233000770,화성시
8264,92012,233000134,1001,74,남양읍행정복지센터,233000769,36026.0,233000769,화성시
8265,153869,241205012,50,125,남양읍행정복지센터,233000769,36026.0,233000769,화성시
8266,167887,241335026,50-2(금강),9,남양읍행정복지센터,233000769,36026.0,233000769,화성시
8267,188650,241483008,50-7,7,남양읍행정복지센터,233000769,36026.0,233000769,화성시
8268,188726,241483010,50-4(대광1차),9,남양읍행정복지센터,233000769,36026.0,233000769,화성시
8269,188919,241483017,50-8(송산),32,남양읍행정복지센터,233000769,36026.0,233000769,화성시
8270,190128,241485040,13-2,37,남양읍행정복지센터,233000769,36026.0,233000769,화성시
8277,92013,233000134,1001,75,남양사거리,233000768,36021.0,233000768,화성시
8279,153870,241205012,50,126,남양사거리,233000768,36021.0,233000768,화성시
8280,167888,241335026,50-2(금강),10,남양사거리,233000768,36021.0,233000768,화성시
