,20180701이용횟수
4170922.0,29
4160268.0,11
9009398.0,3
230.0,71
4160306.0,196
4197463.0,243
4100056.0,339
4199766.0,13
4515.0,13
4100117.0,242
4100441.0,130
249.0,11
4111926.0,162
4111842.0,142
1857.0,155
4100131.0,264
4103484.0,40
4100068.0,108
4179366.0,20
4179358.0,17
1702.0,104
4170958.0,3
10762.0,6
4179335.0,137
4111748.0,89
4195943.0,5
4116979.0,150
4111906.0,1
4135020.0,56
4108086.0,152
4150349.0,21
4116867.0,143
4135014.0,43
4108101.0,130
4108173.0,450
4117342.0,7
72486.0,2
4150595.0,9
4111812.0,60
4135019.0,61
4102919.0,6
4199339.0,13
4170255.0,59
4116181.0,56
4116868.0,85
4130357.0,73
4102868.0,10
4117016.0,4
4111846.0,104
4100386.0,37
4107946.0,185
4108048.0,242
4111887.0,53
8003138.0,89
4116887.0,65
4117006.0,115
4195718.0,131
8812.0,52
4107121.0,15
4100006.0,81
4112034.0,95
4100565.0,100
337.0,10
4150146.0,30
4108020.0,42
4130402.0,104
4121388.0,12
4105478.0,5
4173743.0,1
4116866.0,17
4121808.0,9
4116548.0,73
4105280.0,11
4130434.0,61
4108123.0,139
4160370.0,2
340.0,3
9004930.0,1
4113.0,17
4108169.0,100
4117418.0,4
8009290.0,268
4117227.0,48
9006339.0,24
4103671.0,9
4116680.0,103
2756.0,24
4197335.0,1
4506.0,7
4111660.0,54
4178230.0,1
4160227.0,21
4108431.0,78
4196065.0,3
4150159.0,124
4199072.0,127
4100620.0,2
8501577.0,8
4102904.0,7
1754.0,115
4118511.0,11
4103538.0,6
4176566.0,19
4176348.0,69
4108146.0,123
4130387.0,49
4100474.0,19
4151532.0,1
4117292.0,58
4116843.0,51
1212.0,3
4135035.0,26
4160364.0,166
9011200.0,8
2617.0,7
4116696.0,76
4100130.0,119
4100062.0,40
4150353.0,25
4116957.0,12
4116720.0,151
1957.0,2
4114472.0,22
4150150.0,38
4160324.0,54
4103285.0,15
4160382.0,107
4117411.0,30
4116803.0,122
4108167.0,62
4115594.0,85
4108224.0,121
4170819.0,4
4120801.0,1
4178968.0,18
4160336.0,30
9501069.0,3
4111886.0,38
4150325.0,10
9606597.0,1
4111614.0,28
155.0,17
1014.0,11
4176963.0,84
4108199.0,27
1721.0,71
4121996.0,62
4116929.0,29
4178206.0,15
4116819.0,61
2534.0,15
4170966.0,61
4178307.0,1
1722.0,61
4170336.0,42
4111741.0,168
9176783.0,19
4197605.0,44
4120453.0,29
4100092.0,77
4123266.0,47
4120001.0,69
4100575.0,6
4170942.0,133
9000146.0,13
4170731.0,72
4108176.0,216
4116637.0,3
4107949.0,22
4122331.0,74
4108131.0,75
4123488.0,15
4108141.0,189
4135067.0,46
4116784.0,12
1509.0,8
4160253.0,51
4117364.0,34
4199423.0,1
4116945.0,94
4116737.0,7
4100529.0,117
4170805.0,81
4108091.0,19
4179373.0,16
4151732.0,14
4151727.0,120
4113334.0,14
1856.0,100
4100653.0,29
4179143.0,1
334.0,2
4116604.0,2
4112032.0,41
4130089.0,6
4106975.0,1
1723.0,57
4122337.0,18
4130189.0,6
4108098.0,103
4170355.0,41
4170806.0,176
4199654.0,113
4116602.0,20
4116995.0,11
4130341.0,30
2733.0,11
4121928.0,1
8002371.0,2
4170775.0,1
4118457.0,2
4122787.0,19
4103601.0,23
4171001.0,7
4176969.0,7
4100090.0,46
4176761.0,83
4118267.0,8
4108213.0,50
4103591.0,63
4102810.0,3
4308.0,32
4176302.0,23
4110310.0,8
4117049.0,79
1701.0,113
4118510.0,3
4113627.0,34
9002554.0,1
4151634.0,40
4116893.0,157
9006334.0,9
7892.0,3
9006332.0,17
4195698.0,8
4108096.0,169
4130489.0,24
4121010.0,69
4111623.0,79
4122258.0,12
4111737.0,47
4100564.0,109
10933.0,1
1015.0,20
4196886.0,1
4514.0,6
4135018.0,69
4102907.0,11
4102177.0,1
4116097.0,72
4179386.0,165
4113600.0,44
4107936.0,211
4114743.0,37
4117038.0,181
4203.0,8
4116975.0,19
4121998.0,48
4114450.0,42
4107059.0,6
4170665.0,24
4100609.0,97
1450.0,17
74870.0,1
4170097.0,25
4117269.0,48
4116686.0,101
8008820.0,25
4197607.0,111
4117336.0,12
4130160.0,32
4130159.0,10
4107793.0,4
4111687.0,10
4160359.0,142
4195712.0,4
4107694.0,1
4109531.0,84
9000858.0,1
4111745.0,79
4111625.0,50
4160222.0,31
4107924.0,14
4105291.0,8
4199078.0,2
2740.0,7
4111817.0,33
4117857.0,3
4135086.0,2
1280.0,11
4117354.0,1
4116596.0,2
4199475.0,27
4130544.0,89
2723.0,11
4111738.0,46
8001573.0,7
4114328.0,36
4113876.0,2
1804.0,73
4150343.0,3
4114075.0,32
4195701.0,20
4130088.0,24
4116998.0,93
4170977.0,134
219.0,93
4176908.0,1
4150328.0,6
4100532.0,62
9179223.0,10
4111728.0,37
4108227.0,82
4107921.0,6
4197596.0,17
4118424.0,9
4116749.0,62
4103624.0,3
4117278.0,132
4195611.0,91
4103494.0,23
4195697.0,40
4130350.0,60
4111900.0,82
4111810.0,30
1718.0,154
4176323.0,66
4179237.0,17
9008337.0,1
4117297.0,19
4116991.0,101
4105372.0,24
4130526.0,21
4197603.0,24
4120436.0,43
217.0,21
4195599.0,70
4102897.0,5
4102822.0,15
4119255.0,4
4121775.0,98
4100562.0,124
4107950.0,46
9100650.0,18
4111918.0,10
9009907.0,6
1821.0,8
4101430.0,22
4100057.0,122
4179258.0,3
4110203.0,22
9010027.0,1
1023.0,9
4107051.0,4
154.0,21
4176475.0,34
4150113.0,22
4101019.0,1
4117029.0,41
209.0,9
4179337.0,29
1004.0,50
9008316.0,3
4170347.0,74
71985.0,7
60031.0,3
4116387.0,21
4122304.0,14
4107635.0,2
4118410.0,9
4116858.0,145
4135021.0,33
4114202.0,50
4105375.0,41
4115906.0,5
1762.0,38
8005420.0,2
4160259.0,65
4122086.0,24
4199628.0,10
4170095.0,113
4119417.0,44
4179180.0,25
4115603.0,41
4195703.0,16
4199632.0,75
9544.0,7
4122307.0,15
4122603.0,2
2724.0,7
4116270.0,7
4105377.0,38
1019.0,11
4160315.0,49
72528.0,4
4151636.0,43
4108160.0,65
4176120.0,3
4195696.0,44
4100027.0,68
4179339.0,59
4110305.0,1
4170918.0,155
4101524.0,55
4121878.0,1
4122788.0,23
4116962.0,118
4108186.0,54
4199380.0,6
4151726.0,18
4130517.0,19
7103537.0,70
231.0,32
4108088.0,140
4100021.0,38
4179364.0,8
4108182.0,22
4100151.0,6
4130358.0,4
4170273.0,23
4176125.0,4
9100504.0,3
2824.0,57
4116992.0,21
4176776.0,34
235.0,14
4176145.0,4
4170242.0,2
4113572.0,50
4170421.0,30
2552.0,6
4110951.0,1
7937.0,6
9012815.0,6
1851.0,18
9606336.0,9
4130116.0,112
4199071.0,11
4135069.0,44
4100100.0,30
4107947.0,15
4160243.0,6
4170984.0,40
2822.0,12
4112112.0,4
4100496.0,8
4112111.0,1
4100153.0,100
4179325.0,8
4116709.0,45
4108.0,4
4117202.0,23
4123686.0,80
9036837.0,2
4116841.0,146
8994.0,6
4150260.0,39
4170937.0,38
4107784.0,29
4111732.0,22
4119141.0,11
4111646.0,6
9005683.0,1
4102815.0,1
4130519.0,37
10508.0,2
71344.0,12
4177002.0,4
224.0,34
4199056.0,11
4130052.0,5
4170414.0,10
233.0,57
7103124.0,1
4118153.0,3
9103813.0,4
4100063.0,54
4108190.0,9
2544.0,10
4160362.0,82
4114204.0,65
4118320.0,12
4110105.0,36
4111919.0,14
2731.0,11
4103379.0,3
4130057.0,73
4170507.0,125
9036839.0,7
2757.0,17
4150250.0,36
4116860.0,78
4170919.0,6
4108214.0,118
4114211.0,67
4117251.0,10
4119378.0,7
4116730.0,37
4197609.0,36
4113776.0,7
4150165.0,88
1456.0,66
4116676.0,66
4101442.0,9
4101432.0,13
4111822.0,68
1003.0,76
411.0,12
4150330.0,47
4100497.0,14
4199396.0,12
9105313.0,18
4116848.0,45
4111819.0,58
4113323.0,74
4110404.0,9
331.0,39
3111.0,1
4179341.0,4
1274.0,5
4114207.0,70
1403.0,34
4114353.0,36
4119220.0,2
4102895.0,48
9012698.0,4
8008950.0,13
4113324.0,56
7101836.0,5
4116691.0,176
4130128.0,102
4170774.0,2
4100936.0,3
4170474.0,43
4179323.0,17
